Rk,Player,Nation,Pos,Club,League,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Press,PresSucc,Press%,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc%,DriPast,DriMegs,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,RecTarg,Rec,Rec%,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%
6,Dickson Abiama,NGA,FW,Greuther Fürth,Bundesliga,23,1998,24,5,726,8.1,0,2.22,0.49,22.2,0,0,15.6,0,0,0,11.1,17.2,64.7,160,40.7,6.67,9.63,69.2,3.09,4.69,65.8,0.62,1.23,50,0.12,0.99,0.86,0.74,0,1.6,17.2,16,1.11,0.12,0.12,5.19,0.25,0.25,0,0,0,0,10.7,3.95,2.47,3.33,9.38,2.35,0,0.37,11.1,0.25,0.62,0.62,1.11,2.47,1.48,0,0,0.12,0.25,0.62,0.25,0.12,0,0,0.12,0,0,1.73,0.86,0.37,0.86,0.49,0.25,1.36,18.2,1.11,23.5,4.81,20.5,2.59,10,10.9,1.23,0.37,0,0.86,0.99,2.72,0.86,0,33,1.11,3.46,15.6,15.6,3.83,31.9,0.74,2.22,33.3,0.86,0.12,19,74.7,40.2,2.59,0.99,0.86,5.06,1.36,41.4,21.1,51,5.93,0.37,0,0,2.22,1.48,1.85,0.25,0.86,0,0,0,4.81,2.72,4.94,35.5
11,Ragnar Ache,GER,MFFW,Eint Frankfurt,Bundesliga,23,1998,13,1,259,2.9,0,3.79,0.69,18.2,0,0,15.8,0,0,0,14.5,24.5,59.2,209.3,43.8,7.59,12.1,62.9,5.86,9.31,63,0.34,1.03,33.3,0.34,0.69,1.03,0.69,0.69,1.03,24.5,23.8,0.69,0,0,8.97,0.34,2.07,0,0,0,0,12.1,6.21,6.21,4.14,12.1,1.72,0.69,0.34,14.5,0.34,0.69,1.38,1.72,1.72,1.03,0,0.34,0.34,0,0,0.34,0,0,0,0.34,0,0,0.69,0.69,0,0.34,0.34,0.69,1.03,66.7,0.34,23.8,6.9,29,1.72,10,12.1,1.03,0,0,1.03,0,0.69,0.34,0,44.8,0.34,2.76,20.3,24.8,6.21,44.5,1.38,2.76,50,1.72,0,26.9,150.7,96.2,5.52,2.07,1.72,5.52,2.76,57.2,34.8,60.8,10.7,0,0,0,2.07,2.76,2.07,2.07,0.69,0,0,0,5.17,6.9,3.79,64.5
15,Tyler Adams,USA,MF,RB Leipzig,Bundesliga,23,1999,24,12,1351,15,0,0.13,0,0,0,0,19.4,0,0,0,52.8,60.9,86.7,873.5,217.7,26.5,29,91.3,19.9,22.2,89.8,4.87,6.73,72.3,0.07,0.53,4.93,0.67,0,4.13,60.9,58.3,2.67,1.67,0.07,10.1,0.4,0.2,0,0,0,0,47.8,5.73,7.4,8.67,46.8,2.87,0.93,0.27,52.8,0.27,0.6,1.6,1.47,1.67,1.53,0,0.07,0.07,0,0,0.27,0.27,0,0,0,0,0,1.73,1.07,0.4,1.13,0.2,0.53,1.87,28.6,1.33,21.7,6.93,32,5.93,13.2,2.53,2.13,0.07,0,2.07,1.53,3.27,1.33,0.07,71,1.93,15.2,47.9,12.7,0.87,68.5,0.67,1.13,58.8,0.67,0,48,229.6,116.7,5.07,1.27,0.2,0.67,1.13,53.5,49.4,92.4,1.2,0.33,0,0,1.33,1.2,0,0.2,1.07,0,0,0,10.6,1.53,0.8,65.7
16,Sargis Adamyan,ARM,FWMF,Hoffenheim,Bundesliga,29,1993,13,2,331,3.7,0.27,0.81,0.54,66.7,0.33,0.5,16.7,0,0,0,19.7,26.5,74.5,311.9,80.8,10.3,12.2,84.4,7.84,10.3,76.3,1.35,2.16,62.5,0,1.08,1.35,1.08,0.54,2.43,26.5,25.1,1.35,0,0,7.3,0,1.62,0,0,0,0,17.8,3.51,5.14,5.14,15.9,1.89,1.35,0.81,19.7,0,0.81,1.35,1.89,2.97,2.16,0,0.54,0,0,0.27,0.27,0.27,0,0,0,0,0,3.51,2.16,2.16,1.08,0.27,1.35,3.51,38.5,2.16,21.9,7.3,33.3,4.59,11.1,6.22,1.35,0,0,1.35,0.81,4.32,0.54,0,41.4,1.08,7.3,18.1,17.8,3.24,40,1.62,2.43,66.7,1.62,0.27,28.1,136.2,55.9,3.24,0.27,0,3.24,3.51,41.1,25.9,63.2,6.49,0,0,0,1.62,2.43,1.08,1.62,2.16,0,0,0,7.03,1.35,3.51,27.8
18,Amine Adli,FRA,FWMF,Leverkusen,Bundesliga,22,2000,25,13,1256,14,0.21,2.71,1.36,50,0.08,0.16,15.3,0,0,0,28,37.1,75.4,417.5,122.4,15.5,18.4,84.1,10.6,14.1,75.1,1,2.21,45.2,0.14,0.93,2.14,1.14,0.57,2.86,37.1,35.8,1.36,0.14,0.07,8.21,0.36,1.86,0.14,0,0,0,29.9,5.29,2,29.9,4.29,0.86,0.71,0.43,28,0.36,0.5,2.79,1.43,3.36,2.21,0.07,0.21,0.29,0.29,0.29,0.5,0.36,0,0,0.07,0.07,0,2.71,1.79,1,1.29,0.43,1.21,2.07,58.6,0.86,21.4,6.64,31,4.5,8.79,8.14,2.5,0.29,0,2.21,1.21,3.93,0.57,0,54.6,0.71,8.93,28.6,20.8,4.79,53.3,1.71,3.21,53.3,1.93,0.07,40.1,224.8,136.9,5.93,1.71,1.36,3.07,2.36,52.4,39,74.5,6.57,0.21,0,0,1.93,2.29,0.57,1.86,1.79,0,0,0,6.57,1.36,2.5,35.2
30,Naouirou Ahamada,FRA,MF,Stuttgart,Bundesliga,20,2002,3,0,61,0.7,0,0,0,0,0,0,0,0,0,0,42.9,48.6,88.2,810,122.9,18.6,21.4,86.7,12.9,14.3,90,8.57,10,85.7,0,0,0,0,0,1.43,48.6,47.1,1.43,1.43,0,10,2.86,0,0,0,0,0,41.4,2.86,4.29,7.14,40,1.43,0,0,42.9,0,1.43,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43,0,1.43,24.3,8.57,35.3,5.71,14.3,4.29,2.86,0,0,2.86,0,0,2.86,0,55.7,0,8.57,40,10,0,55.7,0,0,0,0,0,48.6,232.9,104.3,4.29,0,0,0,1.43,50,45.7,91.4,1.43,0,0,0,2.86,1.43,0,0,0,0,0,0,4.29,1.43,4.29,25
38,Manuel Akanji,SUI,DF,Dortmund,Bundesliga,26,1995,26,25,2261,25.1,0.04,0.56,0.12,21.4,0.07,0.33,10.4,0.04,0,0,71.8,79.1,90.7,1601.2,526.8,19.5,21.1,92.4,37.9,39.5,95.9,14.2,17.8,79.6,0,0.08,5.18,0.12,0,4.82,79.1,76.6,2.55,2.31,0,7.93,2.75,0.08,0,0,0,0,65.1,4.82,9.24,15.7,59.3,2.55,0.24,0.04,71.8,0.12,0.88,1.04,0.6,0.44,0.32,0.04,0.04,0.04,0,0,0,0,0,0,0,0,0,1.99,1.43,1.16,0.64,0.2,0.88,1.43,61.1,0.56,9.8,4.5,45.9,5.58,3.67,0.56,1.51,0.72,0,0.8,1.87,3.86,2.91,0,87.6,10.2,43.3,47.6,2.83,0.88,85.4,0.28,0.28,100,0.28,0,60.8,355.1,184.1,5.1,0.48,0,0.2,0.16,67.2,66.3,98.8,0.24,0.12,0,0,0.92,1.04,0.04,0.08,1.43,0,0,0.04,9.56,2.55,1.55,62.1
46,Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,27,1995,26,19,1527,17,0.12,0.71,0.24,33.3,0.17,0.5,12.7,0,0,0,42.4,54.7,77.5,801.4,322.1,17.5,20.5,85.3,19.5,23.2,83.8,5,8.94,55.9,0.12,0.71,3.24,0.76,0.12,4.65,54.7,44.2,10.5,1,0.12,7.29,1.12,1.71,0,0,0,0,33.1,12,9.65,5.18,37.6,1.59,9.47,0.06,42.4,0.18,1.35,2.12,2.12,1.59,1.06,0.06,0.18,0.18,0.06,0.06,0.24,0.12,0,0,0.06,0,0.06,2.18,1.18,1,0.71,0.47,1.06,1.88,56.3,0.82,14.9,4.41,29.5,5.88,6,3.06,3.29,0.12,0,3.18,2.06,4.24,1.88,0.12,67.2,3.71,22.4,31.9,16.8,2.06,57.1,1.06,2.06,51.4,1.12,0.12,37.8,180.6,101.9,4,1.18,0.76,1.06,0.82,41.5,37.4,89.9,1.18,0.29,0,0,1.76,1.41,0.24,1.71,1.18,0,0.06,0,8.47,1.35,1.29,51.1
50,Lucas Alario,ARG,FW,Leverkusen,Bundesliga,29,1992,27,5,655,7.3,0.82,3.15,1.78,56.5,0.26,0.46,11.2,0,0,0.14,14.5,21.2,68.4,194.1,31.5,9.04,12.6,71.7,4.52,5.89,76.7,0.27,0.96,28.6,0,0.96,0.14,0.27,0,0.96,21.2,20.1,1.1,0,0.14,6.44,0.14,0.41,0,0,0,0,13.2,4.52,3.56,1.64,14.8,1.92,0.27,0.27,14.5,0,0.41,1.1,0.55,3.42,2.19,0,0.68,0.14,0.41,0,0.55,0.41,0,0.14,0,0,0,0.68,0.55,0,0.55,0.14,0.27,0.41,66.7,0.14,14,4.11,29.4,0.82,5.48,7.67,0.96,0,0,0.96,0.41,1.1,0.82,0,34.5,0.96,3.15,14.9,18.5,7.4,33.4,1.51,1.78,84.6,1.51,0.27,22.5,90.1,38.8,2.05,0.96,0.55,3.29,2.19,41.5,26.8,64.7,7.53,0.27,0,0,1.1,1.51,0.96,0.41,0.55,0.14,0,0,3.42,2.74,4.79,36.4
87,Nadiem Amiri,GER,MFFW,Leverkusen,Bundesliga,25,1996,13,3,369,4.1,0.24,1.95,0.49,25,0.13,0.5,20.1,0.24,0,0,44.9,54.4,82.5,816.8,142.2,19.8,22.7,87.1,18.8,21.2,88.5,5.12,7.8,65.6,0,0.73,2.2,2.2,0,4.39,54.4,52.2,2.2,0.24,0,11,3.41,0.73,1.22,0.24,0.98,0,43.4,4.63,6.34,4.63,48.8,0.49,0.49,0,44.9,0.24,0.73,1.22,0.49,1.71,1.22,0.24,0,0,0.24,0,0.24,0,0,0,0,0.24,0,1.95,0.98,0.98,0.49,0.49,0.98,1.71,57.1,0.73,13.9,5.61,40.4,3.41,7.32,3.17,1.22,0.24,0,0.98,1.22,3.17,0.49,0,68.3,0.24,13.9,38.3,21.7,2.2,65.9,1.71,3.41,50,1.71,0.24,50.5,324.9,163.7,7.56,3.17,0.24,1.46,1.95,59.8,51.5,86.1,5.85,0,0,0,0.24,3.17,0,0.73,0.98,0,0,0,9.02,0.24,0.98,20
