Rk,Player,Nation,Pos,Club,League,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Press,PresSucc,Press%,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc%,DriPast,DriMegs,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,RecTarg,Rec,Rec%,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%
2,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,34,1987,34,34,2983,33.1,0.06,0.54,0.18,33.3,0.11,0.33,18.7,0,0,0,38.7,47,82.4,835.8,287.9,10.2,11.4,89.9,22.4,25,89.4,5.65,9.15,61.7,0,0.24,2.45,0.18,0,2.72,47,44,3.02,2.45,0,5.68,1.66,0.06,0,0,0,0,35.3,3.78,7.95,31.7,12.1,1.48,0.42,0.12,38.7,0.15,0.97,1.24,0.88,0.63,0.42,0,0.09,0.03,0,0.09,0.03,0,0,0.03,0,0,0,1.87,1.39,1.24,0.6,0.03,0.39,0.82,48.1,0.42,13.6,4.89,35.9,7.61,5.14,0.88,1.87,0.79,0.06,1.09,3.11,4.98,3.2,0,57.3,8.28,32.8,25.7,2.9,0.85,54.5,0.48,0.66,72.7,0.48,0.03,35.7,204.7,115.5,2.75,0.73,0,0.45,0.39,37.5,36.3,96.9,0.36,0.15,0.03,0,1.3,0.73,0,0.06,1.39,0,0.03,0,6.77,2.02,1.36,59.8
3,Salis Abdul Samed,GHA,MF,Clermont Foot,Ligue 1,22,2000,31,29,2462,27.4,0.04,0.66,0.18,27.8,0.06,0.2,20.3,0,0,0,55.9,61,91.7,1033.3,184.4,22.5,24.1,93.5,25.8,27.2,94.9,6.72,7.81,86,0,0.55,2.81,0.47,0.04,2.96,61,60.3,0.73,0.58,0.04,8.03,0.8,0.36,0,0,0,0,52.6,4.71,3.72,4.82,53.1,1.9,0.15,0.29,55.9,0.07,0.58,1.24,0.84,1.46,1.09,0,0,0.15,0.15,0.07,0.04,0.04,0,0,0,0,0,2.01,1.24,0.91,0.91,0.18,0.69,2.15,32.2,1.46,23.4,6.53,27.9,7.19,12.3,3.94,0.99,0.04,0,0.95,1.86,3.87,0.55,0,70.4,2.01,22.7,41.8,10.9,0.62,69.9,0.99,1.53,64.3,1.09,0.07,53.5,246.5,106.3,2.85,0.73,0.15,0.84,1.46,58.6,54.2,92.5,1.72,0.44,0.11,0.07,1.64,1.28,0,0.36,1.24,0,0,0,8.76,0.88,0.88,50
4,Laurent Abergel,FRA,MF,Lorient,Ligue 1,29,1993,34,34,2956,32.8,0,0.91,0.21,23.3,0,0,22.6,0,0,0,40.7,49.8,81.6,780.8,206,16.3,18.4,88.6,17.3,19.6,87.9,6.25,9.39,66.6,0.06,0.91,3.87,0.58,0.18,4.18,49.8,49,0.85,0.64,0.18,9.48,1.49,0.79,0.03,0,0,0,37.6,5.64,6.65,4.48,43.9,0.73,0.15,0.15,40.7,0.21,0.55,1.83,1.68,2.01,1.49,0.06,0.03,0.03,0.21,0.18,0.15,0.12,0,0,0,0.03,0,3.57,2.23,1.49,1.71,0.37,1.8,4.97,36.2,3.17,28,7.9,28.2,9.27,15.3,3.41,1.68,0.09,0,1.59,2.56,6.13,0.34,0,61.6,0.67,13.7,40.3,11.6,0.46,60.9,1.28,1.98,64.6,1.34,0.09,45.7,171.9,86.4,2.87,1.13,0.09,0.85,1.46,46.3,43,93,1.86,0.27,0,0,1.4,2.07,0.03,0.79,2.23,0,0,0,8.87,0.43,0.43,50
5,Charles Abi,FRA,FW,Saint-Étienne,Ligue 1,22,2000,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,4,12,33.3,48,0,2,4,50,2,6,33.3,0,0,0,0,0,0,0,0,0,12,12,0,0,0,6,0,2,0,0,0,0,10,0,2,12,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,28,2,7.1,0,22,6,2,0,0,2,0,0,0,0,24,0,0,10,18,6,24,0,0,0,0,0,18,118,18,0,2,0,8,0,24,16,66.7,4,0,0,0,2,0,0,2,0,0,0,0,4,2,0,100
7,Matthis Abline,FRA,FW,Rennes,Ligue 1,19,2003,7,1,103,1.1,0,1.82,0,0,0,0,8.6,0,0,0,7.27,9.09,80,90.9,20,3.64,5.45,66.7,3.64,3.64,100,0,0,0,0,0.91,0.91,0.91,0,0.91,9.09,9.09,0,0,0,3.64,0,0.91,0,0,0,0,8.18,0.91,0,2.73,6.36,0,0,0,7.27,0,0,0.91,0,0.91,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0.91,23.6,3.64,15.4,3.64,12.7,7.27,1.82,0,0,1.82,0.91,0.91,0.91,0,22.7,1.82,1.82,10,10.9,2.73,22.7,0.91,1.82,50,0.91,0,16.4,61.8,31.8,2.73,0,0,1.82,4.55,35.5,11.8,33.3,7.27,0,0,0,1.82,0.91,0,0.91,0,0,0,0,6.36,0,1.82,0
12,Mohamed Achi,FRA,MF,Nantes,Ligue 1,20,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,30,50,60,490,0,10,10,100,20,20,100,0,10,0,0,0,0,0,0,0,50,50,0,0,0,20,0,0,0,0,0,0,40,10,0,0,50,0,0,0,30,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,10,0,0,0,0,20,20,100,20,0,0,0,0,0,0,0,10,0,0,50,0,10,30,20,0,50,0,0,0,0,0,40,170,100,10,10,0,0,0,50,40,80,10,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0
17,Martin Adeline,FRA,MFFW,Reims,Ligue 1,18,2003,8,2,352,3.9,0,1.03,0.26,25,0,0,10.8,0,0,0,27.4,37.4,73.3,473.6,142.3,11.3,14.1,80,12.3,15.4,80,2.31,3.85,60,0,0.77,2.56,0.51,0,2.82,37.4,35.9,1.54,0.51,0,12.6,0.26,0.51,1.03,0,1.03,0,29.7,2.56,5.13,6.41,29.7,0.77,0,0,27.4,0.26,2.05,3.08,2.05,2.05,1.79,0,0.26,0,0,0,0,0,0,0,0,0,0,3.59,3.08,2.05,1.28,0.26,1.28,3.85,33.3,2.56,26.2,7.18,27.5,9.49,11.3,5.38,1.03,0,0,1.03,3.59,7.18,1.54,0,50,2.31,13.1,23.6,15.6,1.54,48.5,0.77,1.28,60,0.77,0.26,31,160.3,76.9,2.05,0.26,0,2.05,0.77,34.4,27.4,79.9,2.82,0.26,0,0,4.1,0.51,0,0.51,3.08,0,0,0,10.3,0.51,2.05,20
19,Yacine Adli,FRA,MFFW,Bordeaux,Ligue 1,21,2000,36,25,2260,25.1,0.04,1.31,0.6,45.5,0.03,0.07,19.9,0.16,0,0,36.3,49.3,73.6,770.7,253.5,14.3,17,84.5,14,17.2,81.5,7.49,13.2,56.8,0.28,2.27,4.46,1.55,0.16,5.9,49.3,44.2,5.06,1.71,0.12,7.85,3.63,1.55,2.67,1.47,0.72,0.04,32.4,5.62,11.2,5.02,42,0.92,0.4,0.16,36.3,0.28,1.24,2.39,1.55,4.1,2.67,0.8,0.16,0.12,0.24,0.12,0.52,0.4,0.08,0,0,0.04,0,1.91,1.35,1.04,0.68,0.2,0.6,2.67,22.4,2.07,24.9,7.25,29.1,6.61,12.7,5.58,1.63,0.12,0,1.51,2.15,4.06,0.6,0.04,62,1.12,11.6,34.3,20.7,2.27,57.2,1.75,3.15,55.7,1.91,0.12,43.2,240.4,124,6.14,1.91,0.6,1.83,2.59,50.8,43.6,85.9,3.67,0.2,0,0,1.08,1.31,0.16,1.55,1.35,0,0,0,6.41,0.96,0.8,54.5
24,Lucien Agoume,FRA,MF,Brest,Ligue 1,20,2002,27,21,1868,20.8,0,0.77,0.05,6.3,0,0,10.8,0,0,0,39.8,47.2,84.4,762.5,198,16.6,18.9,87.8,15.7,17.8,88.4,6.44,8.08,79.8,0,0.53,3.27,0.53,0,3.75,47.2,45.5,1.63,1.3,0.05,7.4,1.49,0.19,0.05,0,0,0.05,34.7,5.29,7.16,5.82,38.2,1.78,0,0.19,39.8,0.14,0.53,1.49,1.15,1.49,1.15,0.05,0,0.19,0.1,0,0.05,0.05,0,0,0,0,0,2.74,2.02,1.2,1.25,0.29,0.77,1.39,55.2,0.63,18.3,5.82,31.8,5.72,10,2.5,1.83,0.53,0,1.3,2.69,5.43,1.54,0,57.6,2.84,17.9,32.9,10.1,1.68,56.1,0.96,1.39,69,1.01,0.1,36.4,173.7,84.4,2.55,0.77,0.19,0.43,1.01,38.1,35.7,93.7,1.44,0.29,0,0,1.68,0.91,0,0.19,2.02,0,0.05,0,9.9,1.49,1.49,50
26,Nayef Aguerd,MAR,DF,Rennes,Ligue 1,26,1996,31,31,2735,30.4,0.07,0.82,0.23,28,0.08,0.29,8.6,0,0,0,64.3,71.5,90,1482.1,482.3,16,17.1,93.4,33.3,34.8,95.5,14.8,18.9,78.4,0.07,0.1,3.65,0.07,0,2.93,71.5,69.3,2.2,2.04,0.03,6.12,3.26,0.07,0,0,0,0,59,3.22,9.31,60.6,7.3,1.94,0.16,0.13,64.3,0.1,0.76,1.22,0.53,0.39,0.33,0,0,0.03,0.03,0,0.13,0.1,0,0,0,0.03,0,0.99,0.39,0.56,0.43,0,0.23,0.59,38.9,0.36,6.25,2.17,34.7,3.36,2.76,0.13,0.99,0.43,0,0.56,1.78,2.76,5,0.07,81.2,9.51,41.3,42.7,1.88,1.15,79.1,0.16,0.2,83.3,0.16,0,57.1,279.3,149.8,2.43,0.16,0,0.23,0.2,62.2,61.3,98.6,0.07,0.1,0.03,0,0.59,0.53,0.03,0.07,0.39,0.03,0.07,0,7.63,3.55,1.51,70.1
