Rk,Player,Nation,Pos,Club,League,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Press,PresSucc,Press%,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc%,DriPast,DriMegs,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,RecTarg,Rec,Rec%,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%
1,Max Aarons,ENG,DF,Norwich City,Premier League,22,2000,34,32,2881,32,0,0.41,0.06,15.4,0,0,20.5,0,0,0,34,45,75.5,574.1,214.8,17.5,19.4,90,13.1,17,77,3.06,6.78,45.2,0.06,0.59,1.56,1.13,0.25,2.94,45,34.4,10.6,0.84,0.06,5.41,0.59,1.41,0,0,0,0,26.5,9.59,8.94,4.91,29,0.91,9.72,0.06,34,0.22,0.88,1.63,1.75,1.19,0.84,0.06,0.09,0.13,0.06,0,0.16,0.16,0,0,0,0,0,2.16,1.16,1.56,0.59,0,1.16,1.81,63.8,0.66,13.6,3.53,26,7.97,4.38,1.22,2.69,0.69,0.03,2,1.75,3.91,2.19,0,58,5.06,23.3,23.8,15,0.91,47.8,1.03,2.44,42.3,1.09,0.19,33.9,199.4,121.7,5.44,1.66,0.41,0.84,0.94,36,32.4,89.9,1.28,0.25,0,0,0.97,1.84,0.03,1.41,1.16,0,0.06,0.03,5.53,0.47,1.59,22.7
14,Che Adams,SCO,FW,Southampton,Premier League,25,1996,30,23,2039,22.7,0.31,2.16,1.06,49,0.14,0.29,12.9,0,0,0,14.8,21.3,69.6,232.4,47.9,8.24,10.6,77.9,4.45,5.95,74.8,1.32,2.33,56.6,0.13,1.15,0.97,0.57,0.04,1.54,21.3,20.6,0.7,0,0.18,6.04,0.44,0.48,0,0,0,0,13.5,4.36,3.44,1.94,15.4,1.23,0.04,0.7,14.8,0.09,0.44,1.15,1.37,2.25,1.5,0,0.04,0.18,0.48,0.04,0.18,0.13,0,0,0,0,0.04,0.7,0.4,0.18,0.26,0.26,0.09,0.66,13.3,0.57,14.6,3.83,26.2,1.67,5.81,7.14,1.1,0.18,0,0.93,0.44,1.15,0.66,0,33.7,1.19,4.1,14.6,16.5,4.49,33,0.62,1.45,42.4,0.75,0,20.9,83,36.7,2.03,0.75,0.48,2.29,2.11,45.1,23.9,52.9,7.05,0,0,0,1.37,2.07,0.31,0.48,0.4,0,0,0,5.29,2.47,4.89,33.5
35,Rayan Aït Nouri,FRA,DF,Wolves,Premier League,20,2001,23,20,1828,20.3,0.05,0.64,0.2,30.8,0.08,0.25,16.9,0,0,0,37.1,49.4,75.2,644.7,226.2,19,20.7,91.7,14.2,18,78.7,3.74,8.57,43.7,0.1,0.84,1.43,0.74,0.44,2.41,49.4,38.8,10.6,0.79,0.05,6.65,1.77,2.76,1.43,0.39,0.84,0.1,27.4,10.6,11.4,33.1,5.32,2.07,8.37,0,37.1,0.1,1.38,1.63,1.53,2.17,1.28,0.49,0.2,0,0.1,0.1,0.3,0.2,0.05,0,0,0.05,0,3.74,2.12,2.66,0.69,0.39,1.38,2.22,62.2,0.84,19.8,6.65,33.6,11.4,5.71,2.71,1.67,0.15,0,1.53,1.87,5.62,1.58,0.05,63.1,3.15,22.7,24.2,19.6,2.32,52.8,1.97,3.6,54.8,2.17,0.1,38.5,182.5,113.3,5.81,1.08,0.84,1.53,1.58,40.4,35.9,88.9,2.96,0.2,0,0,0.99,1.13,0.15,2.76,2.12,0.05,0,0,6.65,0.99,0.94,51.3
36,Kristoffer Ajer,NOR,DF,Brentford,Premier League,24,1998,24,23,1995,22.2,0.05,0.32,0.05,14.3,0.14,1,9.1,0,0,0,28.3,39.3,72.1,522.6,237.3,11,13.3,82.8,13.3,16.7,79.7,3.33,6.89,48.4,0.14,0.27,2.16,0.45,0.05,3.38,39.3,32.5,6.85,0.36,0,6.22,0.68,0.54,0,0,0,0,20.2,9.77,9.32,1.89,26,2.84,6.49,0.09,28.3,0.18,1.04,1.49,1.8,1.26,0.9,0.18,0.05,0.05,0.05,0.05,0.27,0.14,0.05,0.05,0,0.05,0,1.8,0.99,1.13,0.54,0.14,0.9,1.62,55.6,0.72,9.28,3.29,35.4,4.82,3.15,1.31,1.62,0.59,0.05,1.04,2.21,4.01,3.65,0.05,49.9,5.27,20.8,24.1,8.29,1.4,43.2,0.5,0.77,64.7,0.5,0,25.3,152.5,92.2,3.29,1.22,0.09,0.59,0.5,26.8,24.1,89.7,0.81,0.23,0,0,0.81,0.86,0,0.54,0.99,0,0,0,8.38,2.84,1.71,62.4
41,Nathan Aké,NED,DF,Manchester City,Premier League,27,1995,14,10,923,10.3,0.19,0.49,0.19,40,0.4,1,5.8,0,0,0,75.7,83,91.2,1402.3,405.6,32.1,34.1,94.3,35.3,38.3,92.2,7.77,9.51,81.6,0,0.19,5.15,0.29,0,3.01,83,78.9,4.08,1.55,0,6.89,0.49,0,0,0,0,0,69.5,6.5,6.99,60.3,15,2.72,2.52,0.19,75.7,0,0.97,0.68,0.78,0.29,0.29,0,0,0,0,0,0,0,0,0,0,0,0,1.46,0.49,0.58,0.78,0.1,0.39,0.68,57.1,0.29,6.8,2.23,32.9,2.52,3.59,0.68,1.17,0.49,0,0.68,1.75,3.2,3.01,0,90.9,6.5,34.1,53,11.2,0.87,87,0,0.19,0,0,0,66,345.6,216.1,7.18,1.26,0,0.19,0.1,73.2,70.3,96,0.19,0,0,0,0.78,0.49,0,0,0.49,0,0,0,7.57,3.98,0.78,83.7
55,Marc Albrighton,ENG,FWDF,Leicester City,Premier League,32,1989,17,11,1132,12.6,0.08,0.32,0.08,25,0.25,1,16.7,0,0,0,27.4,43.7,62.6,438.9,188.3,15.9,18.7,85.1,9.05,13.7,66.3,1.9,8.41,22.6,0.16,0.95,1.67,0.87,0.4,2.54,43.7,35.7,8.02,1.19,0,7.62,2.62,2.46,2.94,1.98,0.56,0.08,24.4,8.81,10.5,3.1,34.7,1.59,3.81,0.08,27.4,0.4,0.4,2.46,3.02,1.51,1.11,0.24,0,0,0.16,0,0.16,0.16,0,0,0,0,0,2.62,1.27,1.35,0.71,0.56,0.79,3.25,24.4,2.46,22.9,5,21.8,7.78,11.2,3.97,2.14,0.4,0.08,1.75,1.98,4.6,0.79,0,54.6,2.78,12.5,25.1,19.9,0.95,46.7,1.27,2.94,43.2,1.43,0.32,32.6,137.5,64.3,2.54,0.95,0.16,1.11,0.95,40.5,31.9,78.8,2.46,0.24,0,0,0.63,1.19,0.16,2.46,1.27,0,0,0,6.11,0.48,0.87,35.3
57,Thiago Alcántara,ESP,MF,Liverpool,Premier League,31,1991,25,17,1534,17,0.06,1.47,0.35,24,0.04,0.17,18.2,0,0,0,77.9,87,89.6,1647.5,430.7,26.8,28.9,92.5,35.9,38.6,93,14.6,17.6,82.7,0.24,1.65,11.7,1.29,0.06,10.3,87,85.9,1.12,0.71,0.18,12.7,3.71,0.12,0.06,0,0.06,0,67,8.12,11.9,5.71,76.9,2.06,0.18,0.29,77.9,0.12,0.88,2.47,1.35,3.59,3.06,0,0.06,0.29,0,0.18,0.35,0.35,0,0,0,0,0,3.41,2.35,1,1.82,0.59,0.71,2.35,30,1.65,18.8,6.88,36.7,5.06,9.59,4.12,1.53,0.12,0,1.41,2.06,5.47,1.06,0.12,98,2.18,15.4,65.5,23.2,1.53,97.1,0.88,1.41,62.5,0.88,0,72.8,325.9,173.9,9.59,2.76,0.24,0.59,0.82,77.5,74.4,96,2.82,0.12,0,0,1.47,1.53,0,0.12,2.35,0,0,0,12.8,2.18,0.94,69.8
63,Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,23,1998,32,32,2853,31.7,0.06,1.61,0.44,27.5,0.04,0.14,23,0.16,0,0,63.5,85.4,74.4,1404.1,572.7,22.9,26.1,88,25.6,31.9,80.5,14.2,24.8,57.4,0.38,2.81,7.29,2.81,0.82,8.77,85.4,68,17.4,2.84,0.63,7.48,6.28,4.01,4.13,0.88,2.81,0.06,44.3,15,26.1,8.8,63.7,1.89,10.4,0.19,63.5,0.19,1.2,3.22,2.43,4.73,2.74,1.64,0.16,0.16,0.03,0,0.54,0.35,0.16,0,0.03,0,0,1.39,0.76,0.69,0.47,0.22,0.73,1.86,39,1.14,9.09,3.06,33.7,3.6,2.78,2.71,1.23,0.16,0.03,1.07,2.4,3.79,1.36,0.03,94.9,2.43,19.1,44.5,35.6,2.81,77.6,0.82,1.39,59.1,0.82,0,54.4,190.7,104.6,4.92,2.08,0.35,0.76,0.82,63.6,59.3,93.2,3.88,0.06,0,0,0.5,0.28,0.35,4.01,0.76,0,0,0,10.1,0.57,0.69,45
66,Alisson,BRA,GK,Liverpool,Premier League,29,1992,36,36,3240,36,0,0,0,0,0,0,0,0,0,0,32.7,37.8,86.6,880.7,486.7,5.03,5.11,98.4,18.2,18.4,98.9,9.39,14.2,66.3,0.03,0.06,0.36,0,0,0,37.8,31.3,6.47,1.72,0.06,2.67,1.03,0,0,0,0,0,26.9,1.89,8.97,2.78,28.6,0.08,0,5.42,32.7,0,0.5,0.53,0,0.08,0.08,0,0,0,0,0,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0.17,0.08,50,0.17,0,0,0.03,0,0,0.03,0,0,0.03,0.06,40.6,30.5,40.3,0.42,0,0,34.2,0.06,0.08,66.7,0.06,0,23.1,81.8,44.9,0,0,0,0.03,0,23.2,23,99.3,0,0,0,0,0,0.14,0,0,0,0,0,0.03,6.22,0,0,0
67,Allan,BRA,MF,Everton,Premier League,31,1991,28,25,2183,24.3,0,0.29,0.12,42.9,0,0,24.1,0,0,0,31.2,39.8,78.3,598.4,174.2,11.7,13.7,85.5,14.6,17.5,83.1,4.07,6.46,63.1,0.08,0.62,4.12,0.78,0.08,4.36,39.8,37.2,2.55,0.86,0,6.42,0.7,0.25,0,0,0,0,27.4,4.61,7.78,3.58,33.9,1.4,0.41,0.12,31.2,0.21,0.66,1.81,1.19,1.32,1.28,0,0,0,0.04,0,0.25,0.21,0,0,0,0.04,0,3.17,2.51,1.28,1.69,0.21,1.07,3.62,29.5,2.55,26.7,8.4,31.5,10.7,13.5,2.51,1.89,0.37,0,1.52,1.73,4.9,1.65,0,50.8,3.33,13.9,31.2,8.64,0.45,48.4,0.66,0.99,66.7,0.66,0.12,31.4,158,83,4.36,1.15,0.08,0.78,1.28,29.2,27,92.5,0.78,0.29,0.04,0,1.6,1.15,0,0.25,2.51,0.04,0,0,11.2,0.49,0.53,48
