Rk,Player,SoT,Norm_SoT_Rk,SoT%,PasTotCmp%,PasLonCmp%,PasProg,PassProgRk,PassProg%,GCA,GCA_rk,GCA%,DriSucc%,Carries,Carries_rk,Carries%,Recov,Recov_rk,Recov%,Nation,Pos,Club,League,Age,Recov
1,Max Aarons,0.06,1004,34.36108256,75.5,45.2,2.94,1735,59.40390545,0.16,1713,58.65022268,42.3,33.9,1601,54.81329222,5.53,860,29.42788626,ENG,DF,Norwich City,Premier League,22,5.53
2,Yunis Abdelhamid,0.18,1430,48.95512162,82.4,61.7,2.72,1603,54.88180884,0.03,1120,38.33504625,72.7,35.7,1767,60.50017129,6.77,1242,42.51455978,MAR,DF,Reims,Ligue 1,34,6.77
3,Salis Abdul Samed,0.18,1430,48.95512162,91.7,86,2.96,1748,59.84926345,0.04,1178,40.32202809,64.3,53.5,2689,92.08633094,8.76,1960,67.11202467,GHA,MF,Clermont Foot,Ligue 1,22,8.76
4,Laurent Abergel,0.21,1541,52.75779376,81.6,66.6,4.18,2383,81.6032888,0.15,1680,57.51969853,64.6,45.7,2421,82.90510449,8.87,2000,68.48235697,FRA,MF,Lorient,Ligue 1,29,8.87
5,Charles Abi,0,1,0,33.3,0,0,1,0,0,1,0,0,18,352,12.02466598,4,384,13.12093183,FRA,FW,Saint-Étienne,Ligue 1,22,4
6,Dickson Abiama,0.49,2105,72.07947927,64.7,50,1.6,888,30.38711888,0.25,2095,71.7368962,33.3,19,401,13.70332306,4.81,614,21.00034258,NGA,FW,Greuther Fürth,Bundesliga,23,4.81
7,Matthis Abline,0,1,0,80,0,0.91,573,19.59575197,0,1,0,50,16.4,285,9.72935937,6.36,1101,37.6841384,FRA,FW,Rennes,Ligue 1,19,6.36
8,Tammy Abraham,0.93,2590,88.69475848,72,80,1.78,992,33.94998287,0.35,2403,82.28845495,48.7,18,352,12.02466598,3.67,326,11.13394998,ENG,FW,Roma,Serie A,24,3.67
9,Luis Abram,0,1,0,88.2,75,1.45,819,28.02329565,0.16,1713,58.65022268,0,25.2,839,28.7084618,4.03,405,13.84035629,PER,DF,Granada,La Liga,26,4.03
10,Francesco Acerbi,0.25,1663,56.9373073,90.3,77.1,3.12,1840,63.00102775,0.07,1304,44.63857485,75,52.4,2664,91.22987324,10.7,2567,87.9068174,ITA,DF,Lazio,Serie A,34,10.7
11,Ragnar Ache,0.69,2360,80.81534772,59.2,33.3,1.03,636,21.75402535,0.34,2378,81.43199726,50,26.9,961,32.88797533,5.17,752,25.72798904,GER,MFFW,Eint Frankfurt,Bundesliga,23,5.17
12,Mohamed Achi,0,1,0,60,0,0,1,0,0,1,0,0,40,2065,70.70914697,10,2329,79.75334018,FRA,MF,Nantes,Ligue 1,20,10
13,Marcos Acuña,0.2,1504,51.49023638,79.4,58,4.9,2588,88.62624186,0.12,1527,52.27817746,69.2,59.4,2785,95.37512847,8.92,2022,69.23603974,ARG,DF,Sevilla,La Liga,30,8.92
14,Che Adams,1.06,2679,91.74374786,69.6,56.6,1.54,856,29.29085303,0.18,1815,62.14457006,42.4,20.9,537,18.36245289,5.29,789,26.99554642,SCO,FW,Southampton,Premier League,25,5.29
15,Tyler Adams,0,1,0,86.7,72.3,4.13,2363,80.91812264,0.27,2176,74.51181912,58.8,48,2517,86.19390202,10.6,2536,86.84480987,USA,MF,RB Leipzig,Bundesliga,23,10.6
16,Sargis Adamyan,0.54,2184,74.78588558,74.5,62.5,2.43,1401,47.9616307,0.27,2176,74.51181912,66.7,28.1,1071,36.65638917,7.03,1328,45.46077424,ARM,FWMF,Hoffenheim,Bundesliga,29,7.03
17,Martin Adeline,0.26,1693,57.96505653,73.3,60,2.82,1663,56.9373073,0,1,0,60,31,1346,46.07742378,10.3,2470,84.58376156,FRA,MFFW,Reims,Ligue 1,18,10.3
18,Amine Adli,1.36,2830,96.91675231,75.4,45.2,2.86,1686,57.72524837,0.5,2651,90.78451524,53.3,40.1,2098,71.83967112,6.57,1152,39.43131209,FRA,FWMF,Leverkusen,Bundesliga,22,6.57
19,Yacine Adli,0.6,2262,77.45803357,73.6,56.8,5.9,2770,94.86125385,0.52,2675,91.60671463,55.7,43.2,2281,78.10894142,6.41,1112,38.06097979,FRA,MFFW,Bordeaux,Ligue 1,21,6.41
20,Michel Aebischer,0.41,1988,68.07125728,88.9,66.7,3.27,1925,65.9129839,0,1,0,33.3,38.8,1986,68.00274066,6.73,1227,42.00068517,SUI,MF,Bologna,Serie A,25,6.73
21,Felix Afena-Gyan,0.95,2613,89.48269955,76.2,55.6,1.35,772,26.41315519,0.41,2518,86.22816033,39.1,32.7,1495,51.18191161,6.22,1062,36.34806441,GHA,FWMF,Roma,Serie A,19,6.22
22,Martin Agirregabiria,0,1,0,71.4,43,3.06,1801,61.66495375,0.11,1478,50.59952038,73.7,25.9,885,30.28434395,8.33,1813,62.07605344,ESP,DF,Alavés,La Liga,26,8.33
23,Julen Agirrezabala,0,1,0,74.4,43.2,0,1,0,0,1,0,0,9.5,84,2.843439534,3.75,342,11.68208291,ESP,GK,Athletic Club,La Liga,21,3.75
24,Lucien Agoume,0.5,2119,72.55909558,84.4,79.8,3.75,2178,74.58033573,0.05,1223,41.86365194,69,36.4,1817,62.21308667,9.9,2314,79.23946557,FRA,MF,Brest,Ligue 1,20,9.9
25,Kevin Agudelo,0.8,2478,84.85782802,73.8,36,2.7,1594,54.57348407,0.22,1991,68.1740322,54.9,33.1,1529,52.34669407,7.23,1407,48.16718054,COL,MFFW,Spezia,Serie A,23,7.23
26,Nayef Aguerd,0.23,1599,54.74477561,90,78.4,2.93,1729,59.1983556,0.13,1583,54.19664269,83.3,57.1,2753,94.27886262,7.63,1568,53.68276807,MAR,DF,Rennes,Ligue 1,26,7.63
27,Sergio Agüero,0.59,2250,77.04693388,72.1,100,1.18,692,23.67249058,0,1,0,100,22.4,634,21.68550874,1.76,135,4.590613224,ARG,FW,Barcelona,La Liga,33,1.76
28,Ruben Aguilar,0.08,1062,36.34806441,83.8,54.9,6.43,2818,96.50565262,0.13,1583,54.19664269,58.8,48.8,2550,87.32442617,9.92,2315,79.27372388,FRA,DF,Monaco,Ligue 1,29,9.92
29,Álvaro Aguirre,0,1,0,100,0,0,1,0,0,1,0,0,10,86,2.911956149,10,2329,79.75334018,ESP,FW,Rayo Vallecano,La Liga,22,10
30,Naouirou Ahamada,0,1,0,88.2,85.7,1.43,803,27.47516273,0,1,0,0,48.6,2540,86.9818431,4.29,463,15.82733813,FRA,MF,Stuttgart,Bundesliga,20,4.29
31,Anel Ahmedhodzic,0.27,1721,58.92428914,88.6,74.3,3.73,2169,74.27201096,0.07,1304,44.63857485,40,44.3,2353,80.57553957,10.4,2490,85.26892771,BIH,DF,Bordeaux,Ligue 1,23,10.4
32,Jean-Eudes Aholou,0.18,1430,48.95512162,84.7,60,2.41,1382,47.31072285,0.27,2176,74.51181912,60,31.3,1370,46.89962316,10.4,2490,85.26892771,CIV,MF,Strasbourg,Ligue 1,28,10.4
33,Joseph Aidoo,0.03,927,31.72319287,83,69.9,3.41,2014,68.96197328,0.07,1304,44.63857485,80,40.5,2127,72.83316204,9.59,2236,76.56731757,GHA,DF,Celta Vigo,La Liga,26,9.59
34,Ola Aina,0.25,1663,56.9373073,72.1,45.9,4.19,2386,81.70606372,0,1,0,51.6,33.8,1588,54.36793422,7.88,1660,56.83453237,NGA,DF,Torino,Serie A,25,7.88
35,Rayan Aït Nouri,0.2,1504,51.49023638,75.2,43.7,2.41,1382,47.31072285,0.3,2277,77.97190819,54.8,38.5,1961,67.14628297,6.65,1176,40.25351148,FRA,DF,Wolves,Premier League,20,6.65
36,Kristoffer Ajer,0.05,970,33.1963001,72.1,48.4,3.38,1999,68.44809866,0.27,2176,74.51181912,64.7,25.3,848,29.01678657,8.38,1831,62.69270298,NOR,DF,Brentford,Premier League,24,8.38
37,Ludovic Ajorque,0.79,2462,84.3096951,73.7,67.5,1.51,849,29.05104488,0.3,2277,77.97190819,48.4,21.1,554,18.94484412,3.75,342,11.68208291,REU,FW,Strasbourg,Ligue 1,28,3.75
38,Manuel Akanji,0.12,1221,41.79513532,90.7,79.6,4.82,2570,88.00959233,0,1,0,100,60.8,2808,96.16306954,9.56,2226,76.2247345,SUI,DF,Dortmund,Bundesliga,26,9.56
39,Carlos Akapo,0.05,970,33.1963001,74.2,48.6,1.8,999,34.18979102,0.05,1223,41.86365194,57.1,26.3,914,31.27783487,9.76,2286,78.28023296,EQG,DF,Cádiz,La Liga,29,9.76
40,Marley Aké,0,1,0,76.5,100,3.33,1953,66.87221651,0,1,0,0,20,459,15.6903049,4.44,495,16.92360397,FRA,MFFW,Juventus,Serie A,21,4.44
41,Nathan Aké,0.19,1465,50.15416238,91.2,81.6,3.01,1774,60.73997945,0,1,0,0,66,2848,97.53340185,7.57,1547,52.96334361,NED,DF,Manchester City,Premier League,27,7.57
42,Ilias Akhomach,1.43,2847,97.49914354,84.9,40,4.29,2413,82.63103803,0,1,0,33.3,45,2379,81.46625557,7.14,1369,46.86536485,ESP,FW,Barcelona,La Liga,18,7.14
43,Maghnes Akliouche,1.67,2884,98.76670092,90.9,50,6.67,2827,96.81397739,0,1,0,25,48.3,2526,86.50222679,6.67,1184,40.52757794,FRA,MFFW,Monaco,Ligue 1,20,6.67
44,Paul Akouokou,0,1,0,87.5,76.7,4.91,2591,88.72901679,0,1,0,66.7,45.3,2406,82.39122987,9.65,2253,77.1497088,CIV,MF,Betis,La Liga,24,9.65
45,Jean-Daniel Akpa-Akpro,0,1,0,81.4,66.7,0.86,560,19.15039397,0,1,0,58.3,33.7,1581,54.12812607,6.86,1270,43.47379239,CIV,MF,Lazio,Serie A,29,6.86
46,Kevin Akpoguma,0.24,1630,55.80678314,77.5,55.9,4.65,2532,86.70777664,0.24,2059,70.50359712,51.4,37.8,1923,65.84446728,8.47,1856,63.54916067,NGA,DF,Hoffenheim,Bundesliga,27,8.47
47,David Alaba,0.2,1504,51.49023638,91.7,75.8,3.47,2047,70.09249743,0.27,2176,74.51181912,62.5,54.4,2704,92.60020555,6.43,1118,38.26652963,AUT,DF,Real Madrid,La Liga,29,6.43
48,Sofiane Alakouch,0,1,0,82.4,40,2.22,1250,42.78862624,0,1,0,40,48.9,2558,87.59849263,8.89,2007,68.72216513,MAR,DFMF,Metz,Ligue 1,23,8.89
49,Tomás Alarcón,0.13,1255,42.95991778,71.4,55.4,2.47,1426,48.81808839,0.19,1849,63.30935252,44.4,25.7,875,29.94176088,10.2,2453,84.00137033,CHI,MF,Cádiz,La Liga,23,10.2
50,Lucas Alario,1.78,2893,99.07502569,68.4,28.6,0.96,595,20.34943474,0.55,2716,93.01130524,84.6,22.5,640,21.89105858,3.42,287,9.797875985,ARG,FW,Leverkusen,Bundesliga,29,3.42
51,Jordi Alba,0.2,1504,51.49023638,84.3,63.2,8.64,2870,98.28708462,0.44,2570,88.00959233,31.8,64.7,2835,97.08804385,9.18,2126,72.79890373,ESP,DF,Barcelona,La Liga,33,9.18
52,Josué Albert,0,1,0,75,0,0,1,0,0,1,0,0,30,1241,42.48030147,10,2329,79.75334018,GUF,DF,Clermont Foot,Ligue 1,30,10
53,Luis Alberto,0.61,2272,77.80061665,83.1,54.3,6.9,2842,97.327852,0.61,2768,94.79273724,56.8,62.4,2818,96.50565262,7.13,1367,46.79684824,ESP,MF,Lazio,Serie A,29,7.13
