Rk,Player,Nation,Pos,Club,League,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Press,PresSucc,Press%,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc%,DriPast,DriMegs,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,RecTarg,Rec,Rec%,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%
8,Tammy Abraham,ENG,FW,Roma,Serie A,24,1997,37,36,3084,34.3,0.5,2.71,0.93,34.4,0.15,0.44,12.2,0.06,0.09,0.09,14.6,20.2,72,224.9,51.2,8.69,11.4,76.2,4.05,5.86,69.2,1.28,1.6,80,0.12,1.02,1.08,0.82,0.12,1.78,20.2,18.3,1.98,0.17,0.15,5.92,0.32,0.7,0,0,0,0,12.8,4.37,3.03,1.84,14.1,1.92,0.03,0.7,14.6,0,0.29,1.02,0.7,2.33,1.63,0.03,0.03,0.38,0.17,0.09,0.35,0.15,0,0.03,0.09,0.09,0,0.99,0.64,0.29,0.44,0.26,0.29,0.67,43.5,0.38,13.6,4.02,29.6,1.34,5.71,6.56,0.96,0.32,0,0.64,0.44,1.43,0.9,0,32.4,0.96,2.54,16.3,15.2,5.86,30.4,1.08,2.22,48.7,1.14,0.09,18,76.8,39.4,2.45,0.82,0.67,2.39,1.28,41.2,22.4,54.3,6.71,0.26,0,0,1.25,1.46,0.5,0.7,0.64,0.03,0.03,0,3.67,2.39,2.89,45.3
10,Francesco Acerbi,ITA,DF,Lazio,Serie A,34,1988,30,29,2536,28.2,0.14,0.57,0.25,43.8,0.25,0.57,9.2,0,0,0,64.3,71.1,90.3,1345.5,409.9,20.1,21.6,93.1,33.3,35.3,94.4,9.93,12.9,77.1,0,0.21,4.33,0.21,0,3.12,71.1,68.6,2.52,2.2,0.07,5.96,2.66,0.04,0,0,0,0,52.8,5.6,12.7,54.1,12.2,2.77,0.04,0.28,64.3,0.04,0.78,0.85,0.43,0.64,0.5,0.04,0,0.04,0.07,0,0.07,0.04,0,0,0,0.04,0,0.96,0.43,0.64,0.32,0,0.32,0.71,45,0.39,5.85,1.7,29.1,3.05,2.41,0.39,1.7,1.06,0,0.64,1.7,2.66,4.08,0.04,80.2,12.3,42,41.4,2.3,0.78,77.9,0.11,0.14,75,0.11,0,52.4,284.8,161.6,3.48,0.71,0,0.28,0.11,58.8,57.8,98.3,0.35,0.07,0.04,0,0.71,0.67,0.14,0.04,0.43,0.04,0,0,10.7,2.84,1.6,64
20,Michel Aebischer,SUI,MF,Bologna,Serie A,25,1997,12,4,443,4.9,0,0.41,0.41,100,0,0,20.8,0,0,0,44.1,49.6,88.9,740,189,21.2,22.2,95.4,17.1,19,90.3,3.67,5.51,66.7,0,1.22,2.04,1.02,0.2,3.27,49.6,46.5,3.06,1.43,0,8.78,2.04,0.41,1.43,0,0.82,0,40.6,5.1,3.88,7.55,39.4,1.22,0.2,0.2,44.1,0.2,0.2,1.02,0.82,1.84,1.43,0.2,0,0,0,0.2,0,0,0,0,0,0,0,3.06,1.63,1.22,1.43,0.41,1.02,2.04,50,1.02,26.1,5.51,21.1,9.18,13.5,3.47,1.02,0,0,1.02,1.02,4.08,0.61,0,57.6,2.65,13.1,32.4,13.7,1.22,54.7,0.2,0.61,33.3,0.2,0,38.8,150,70.2,2.24,0.2,0,0.61,1.43,44.5,40.4,90.8,1.63,0.2,0,0,2.86,0.82,0,0.41,1.63,0,0,0,6.73,1.22,1.63,42.9
21,Felix Afena-Gyan,GHA,FWMF,Roma,Serie A,19,2003,17,6,668,7.4,0.27,2.43,0.95,38.9,0.11,0.29,15,0,0,0,16.9,22.2,76.2,247.2,35.7,9.86,12.2,81.1,5.68,7.03,80.8,0.68,1.22,55.6,0,0.68,0.41,0.81,0.27,1.35,22.2,20.9,1.22,0.14,0,3.38,0.54,1.08,0,0,0,0,17.3,2.97,1.89,1.35,18.9,0.14,0.81,0.41,16.9,0,0.27,1.35,1.35,3.24,2.16,0,0.14,0.27,0.54,0.14,0.41,0.27,0,0.14,0,0,0,1.08,0.54,0.14,0.81,0.14,0.54,1.22,44.4,0.68,30,7.43,24.8,3.65,12.4,13.9,0.68,0,0,0.68,0.68,1.76,0,0,41.6,0,2.97,17,25.9,7.03,40.4,1.22,3.11,39.1,1.35,0.14,32.7,159.9,103.9,3.92,2.16,0.95,4.46,4.32,50.3,29.7,59.1,8.92,0.68,0.14,0.14,2.03,3.51,0.54,1.08,0.54,0,0,0,6.22,1.22,2.43,33.3
25,Kevin Agudelo,COL,MFFW,Spezia,Serie A,23,1998,23,12,1237,13.7,0.22,1.61,0.8,50,0.14,0.27,16.6,0,0,0,20.7,28.1,73.8,308.2,89.1,11.2,13.6,82.4,8.1,10.1,80.4,0.66,1.82,36,0.07,0.73,1.97,0.95,0.22,2.7,28.1,27.2,0.88,0.07,0,8.83,0.51,0.95,0.29,0.22,0.07,0,21.1,3.8,3.21,23.4,2.12,1.24,0.29,0.07,20.7,0.15,0.73,1.46,1.31,2.77,1.39,0,0.51,0.15,0.22,0.51,0.22,0.07,0,0,0,0,0.15,2.99,1.97,1.02,1.46,0.51,0.58,1.39,42.1,0.8,29.2,6.42,22,5.84,15.5,7.88,1.97,0,0,1.97,1.31,4.31,0.29,0,44.1,0.8,6.5,21.9,20.8,3.14,43.2,2.04,3.72,54.9,2.12,0.07,33.1,194.1,114.3,5.55,2.48,1.09,1.53,3.87,36.3,28.1,77.5,4.23,0.15,0.07,0,2.85,1.9,0,0.95,1.97,0,0,0,7.23,1.17,1.46,44.4
34,Ola Aina,NGA,DF,Torino,Serie A,25,1996,21,17,1437,16,0,0.63,0.25,40,0,0,22.1,0,0,0,34.1,47.3,72.1,603.5,266.3,16.1,18.6,86.6,13.6,17.5,77.5,3.88,8.44,45.9,0,1.06,2.63,1.31,0.31,4.19,47.3,37.9,9.44,0.56,0.13,5.31,0.56,1.88,0,0,0,0,25.4,8.94,12.9,9.44,26.3,1.81,8.88,0.19,34.1,0.25,0.69,1.44,2.5,2.19,1.88,0.13,0.13,0,0.06,0,0,0,0,0,0,0,0,2,0.94,0.94,0.81,0.25,1.06,1.56,68,0.5,10.5,3.38,32.1,3.63,4.38,2.5,1.56,0.19,0,1.38,2.06,4.06,2.06,0,61,3.19,15.5,29.4,20.4,2.06,52,1,1.94,51.6,1.06,0.13,33.8,190.8,114.6,5.38,1.88,0.69,1.5,1.13,40.2,34.6,86,2.81,0.25,0,0,1.25,1.94,0.06,1.88,0.94,0,0,0,7.88,1.13,1.44,43.9
40,Marley Aké,FRA,MFFW,Juventus,Serie A,21,2001,4,0,77,0.9,0,0,0,0,0,0,0,0,0,0,14.4,18.9,76.5,278.9,86.7,3.33,4.44,75,5.56,7.78,71.4,3.33,3.33,100,0,0,0,1.11,1.11,3.33,18.9,17.8,1.11,0,0,4.44,1.11,1.11,0,0,0,0,14.4,2.22,2.22,2.22,15.6,0,1.11,0,14.4,0,0,3.33,0,1.11,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0,1.11,33.3,2.22,6.7,11.1,15.6,6.67,0,0,0,0,2.22,2.22,0,0,27.8,0,2.22,15.6,11.1,0,26.7,0,1.11,0,0,0,20,118.9,68.9,2.22,0,0,3.33,2.22,25.6,20,78.3,3.33,1.11,0,0,8.89,2.22,0,1.11,0,0,0,0,4.44,1.11,0,100
45,Jean-Daniel Akpa-Akpro,CIV,MF,Lazio,Serie A,29,1992,10,4,315,3.5,0,0.86,0,0,0,0,18.4,0,0,0,26.3,32.3,81.4,367.1,53.7,15.1,18,84.1,9.14,10,91.4,0.57,0.86,66.7,0,0.57,1.43,0.29,0,0.86,32.3,32,0.29,0.29,0,7.14,0.29,0,0,0,0,0,24,6.86,1.43,5.71,22.9,1.43,0,0.57,26.3,0,0.57,1.43,1.43,0.57,0.57,0,0,0,0,0,0,0,0,0,0,0,0,4.57,2.57,1.71,2.57,0.29,0.86,2.86,30,2,30,8.29,27.6,6.86,16.3,6.86,1.14,0.57,0,0.57,0.86,5.43,1.14,0,48.3,2.57,11.7,27.7,12.3,0.29,48.3,2,3.43,58.3,2.29,0,33.7,140,69.1,1.43,1.14,0,1.14,1.43,38,31.1,82,3.43,0.29,0,0,4,2.86,0,0,2.57,0,0.29,0,6.86,2,2,50
53,Luis Alberto,ESP,MF,Lazio,Serie A,29,1992,34,27,2353,26.1,0.19,1.8,0.61,34,0.11,0.31,19.8,0.04,0,0,63,75.7,83.1,1073.6,348.1,31,33.7,92,24.2,27.7,87.2,6.28,11.6,54.3,0.34,2.41,7.89,1.88,0.27,6.9,75.7,68,7.74,3.07,0.46,12,2.99,1.92,3.91,1.72,1.42,0.11,58,6.82,10.9,3.87,69.8,0.96,0.42,0.31,63,0.23,0.69,2.49,1.3,4.29,2.91,1,0.08,0.11,0.15,0.04,0.61,0.27,0.23,0.04,0.08,0,0,1.19,0.69,0.34,0.46,0.38,0.42,1.72,24.4,1.3,15.8,4.06,25.7,4.33,7.2,4.29,1.11,0.15,0,0.96,0.84,2.03,0.23,0,83.9,0.88,12.2,47.5,30.8,1.49,76.5,0.96,1.69,56.8,1.03,0.27,62.4,315.4,186.2,7.66,3.49,0.34,0.61,1.07,71.1,65.3,91.8,3.83,0.19,0,0,0.65,1.07,0.04,1.92,0.69,0,0,0,7.13,0.42,0.57,42.3
73,Giorgio Altare,ITA,DF,Cagliari,Serie A,23,1998,19,17,1466,16.3,0.06,1.1,0.37,33.3,0.06,0.17,12.3,0,0,0,34.5,50.2,68.8,778.3,337.9,10.4,12.8,81.7,15.1,19.3,78.1,8.65,16.4,52.6,0,0.49,3.56,0.55,0.25,3.5,50.2,44.7,5.52,1.29,0,5.64,1.17,0.92,0,0,0,0,24.7,6.5,19,9.26,30.4,4.72,4.23,0.06,34.5,0.25,1.35,1.29,1.1,1.53,0.98,0.12,0,0.31,0,0.12,0,0,0,0,0,0,0,2.58,1.72,1.04,1.23,0.31,0.92,1.6,57.7,0.67,10.2,3.87,38,3.74,5.46,0.98,1.6,0.43,0,1.17,2.7,5.28,4.6,0,61.7,6.69,26.7,29.8,7.85,1.6,56.2,0.37,0.49,75,0.37,0,31.9,148.8,76.2,2.27,0.92,0,0.31,0.18,31.8,30.5,95.9,0.55,0.31,0,0,2.52,0.98,0.06,0.92,1.72,0,0.06,0,12.9,2.76,2.33,54.2
