Rk,Player,Nation,Pos,Club,League,Age,Recov%,Int,Int_rk,Int%,BlkSh,Blksh_rk,Blksh%,BlkPass,BlkPass_rk,BlkPass%,Clr,clr_rk,Clr%,Tkl,Tkl_rk,Tkl%,Press,Press_rk,Press%,Blocks,Blocks_rk,Blocks%
1,Max Aarons,ENG,DF,Norwich City,Premier League,22,29.42788626,1.75,2012,68.89345666,0.69,2541,87.0161014,2,2685,91.9492977,2.19,2132,74.32856645,2.16,2075,71.05173004,13.6,1236,42.30900993,2.69,2757,94.41589585
2,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,34,42.51455978,3.11,2827,96.81397739,0.79,2644,90.54470709,1.09,1614,55.25865022,3.2,2429,84.687827,1.87,1793,61.39088729,13.6,1236,42.30900993,1.87,2165,74.13497773
3,Salis Abdul Samed,GHA,MF,Clermont Foot,Ligue 1,22,67.11202467,1.86,2123,72.69612881,0.04,1029,35.21754025,0.95,1376,47.105173,0.55,983,34.25183118,2.01,1953,66.87221651,23.4,2554,87.4614594,0.99,984,33.67591641
4,Laurent Abergel,FRA,MF,Lorient,Ligue 1,29,68.48235697,2.56,2668,91.36690647,0.09,1192,40.8016444,1.59,2372,81.22644741,0.34,787,27.41541681,3.57,2782,95.27235355,28,2748,94.10757109,1.68,1933,66.18705036
5,Charles Abi,FRA,FW,Saint-Étienne,Ligue 1,22,13.12093183,0,1,0,0,1,0,2,2685,91.9492977,0,1,0,0,1,0,28,2748,94.10757109,2,2313,79.20520726
6,Dickson Abiama,NGA,FW,Greuther Fürth,Bundesliga,23,21.00034258,0.99,1211,41.45255224,0.37,2074,71.01747174,0.86,1221,41.79513532,0.86,1311,45.69236135,1.73,1651,56.52620761,23.5,2558,87.59849263,1.23,1256,42.99417609
7,Matthis Abline,FRA,FW,Rennes,Ligue 1,19,37.6841384,0.91,1139,38.98595409,0,1,0,1.82,2594,88.83179171,0.91,1354,47.19218696,0,1,0,23.6,2567,87.9068174,1.82,2091,71.59986297
8,Tammy Abraham,ENG,FW,Roma,Serie A,24,11.13394998,0.44,740,25.31688935,0.32,1974,67.59164097,0.64,906,31.00376841,0.9,1333,46.45971399,0.99,860,29.42788626,13.6,1236,42.30900993,0.96,951,32.54539226
9,Luis Abram,PER,DF,Granada,La Liga,26,13.84035629,1.77,2036,69.71565605,0.81,2660,91.09284001,1.29,1956,66.97499144,6.29,2853,99.47680502,1.13,1027,35.14902364,5.65,336,11.47653306,2.1,2432,83.28194587
10,Francesco Acerbi,ITA,DF,Lazio,Serie A,34,87.9068174,1.7,1956,66.97499144,1.06,2805,96.06029462,0.64,906,31.00376841,4.08,2615,91.17544472,0.96,838,28.67420349,5.85,343,11.71634121,1.7,1952,66.8379582
11,Ragnar Ache,GER,MFFW,Eint Frankfurt,Bundesliga,23,25.72798904,0,1,0,0,1,0,1.03,1522,52.10688592,0.34,787,27.41541681,0.69,663,22.67899966,23.8,2576,88.21514217,1.03,1037,35.49160671
12,Mohamed Achi,FRA,MF,Nantes,Ligue 1,20,79.75334018,0,1,0,0,1,0,0,1,0,0,1,0,1,871,29.80472765,20,2207,75.57382665,0,1,0
13,Marcos Acuña,ARG,DF,Sevilla,La Liga,30,69.23603974,1.24,1458,49.91435423,0.16,1460,49.98287085,1.27,1929,66.05001713,1.2,1613,56.22602023,2.31,2190,74.99143542,11.7,950,32.51113395,1.43,1543,52.82631038
14,Che Adams,SCO,FW,Southampton,Premier League,25,26.99554642,0.44,740,25.31688935,0.18,1549,53.03186023,0.93,1348,46.14594039,0.66,1091,38.01883502,0.7,668,22.8502912,14.6,1380,47.24220624,1.1,1113,38.0952381
15,Tyler Adams,USA,MF,RB Leipzig,Bundesliga,23,86.84480987,1.53,1760,60.26036314,0.07,1119,38.30078794,2.07,2729,93.45666324,1.33,1706,59.46982909,1.73,1651,56.52620761,21.7,2423,82.9736211,2.13,2459,84.20692018
16,Sargis Adamyan,ARM,FWMF,Hoffenheim,Bundesliga,29,45.46077424,0.81,1059,36.24528948,0,1,0,1.35,2064,70.67488866,0.54,972,33.86815487,3.51,2777,95.10106201,21.9,2440,83.55601233,1.35,1432,49.02363823
17,Martin Adeline,FRA,MFFW,Reims,Ligue 1,18,84.58376156,3.59,2894,99.109284,0,1,0,1.03,1522,52.10688592,1.54,1836,64.00418556,3.59,2786,95.40938678,26.2,2702,92.53168893,1.03,1037,35.49160671
18,Amine Adli,FRA,FWMF,Leverkusen,Bundesliga,22,39.43131209,1.21,1430,48.95512162,0.29,1887,64.61116821,2.21,2779,95.16957862,0.57,1006,35.05406348,2.71,2476,84.78931141,21.4,2393,81.94587187,2.5,2683,91.88078109
19,Yacine Adli,FRA,MFFW,Bordeaux,Ligue 1,21,38.06097979,2.15,2406,82.39122987,0.12,1309,44.80986639,1.51,2272,77.80061665,0.6,1031,35.92605511,1.91,1834,62.7954779,24.9,2642,90.47619048,1.63,1822,62.38437821
